feature,importance
Previous_GPA,2353
Missing_Assignment_Count,1870
Midterm_Score,1857
Online_Learning_Hours,1786
Late_Submission_Count,1763
Quiz_Average_Score,1467
Attendance_Percentage,1308
Assignment_Submission_Rate,1269
Course_Participation_Score,1072
Study_Plan_Adherence,960
Login_Frequency_Per_Week,662
Learning_Resource_Access_Count,649
Forum_Activity_Count,323
Age,159
Course_Year,70
